,0,1,2,3
279,1.0,0.0,27.0,28.0
280,1.0,0.0,28.0,1.0
281,1.0,0.0,28.0,4.0
282,1.0,0.0,28.0,7.0
283,1.0,0.0,28.0,10.0
284,1.0,0.0,28.0,13.0
285,1.0,0.0,28.0,16.0
286,1.0,0.0,28.0,19.0
287,1.0,0.0,28.0,22.0
288,1.0,0.0,28.0,25.0
289,1.0,0.0,28.0,28.0
290,1.0,0.0,29.0,1.0
291,1.0,0.0,29.0,4.0
292,1.0,0.0,29.0,7.0
293,1.0,0.0,29.0,10.0
294,1.0,0.0,29.0,13.0
295,1.0,0.0,29.0,16.0
296,1.0,0.0,29.0,19.0
297,1.0,0.0,29.0,22.0
298,1.0,0.0,29.0,25.0
299,1.0,0.0,29.0,28.0
300,1.0,0.0,30.0,1.0
301,1.0,0.0,30.0,4.0
302,1.0,0.0,30.0,7.0
303,1.0,0.0,30.0,10.0
304,1.0,0.0,30.0,13.0
305,1.0,0.0,30.0,16.0
306,1.0,0.0,30.0,19.0
307,1.0,0.0,30.0,22.0
308,1.0,0.0,30.0,25.0
309,1.0,0.0,30.0,28.0
310,1.0,0.0,31.0,1.0
311,1.0,0.0,31.0,4.0
312,1.0,0.0,31.0,7.0
313,1.0,0.0,31.0,10.0
314,1.0,0.0,31.0,13.0
315,1.0,0.0,31.0,16.0
316,1.0,0.0,31.0,19.0
317,1.0,0.0,31.0,22.0
318,1.0,0.0,31.0,25.0
319,1.0,0.0,31.0,28.0
320,1.0,0.0,32.0,1.0
321,1.0,0.0,32.0,4.0
322,1.0,0.0,32.0,7.0
323,1.0,0.0,32.0,10.0
324,1.0,0.0,32.0,13.0
325,1.0,0.0,32.0,16.0
326,1.0,0.0,32.0,19.0
327,1.0,0.0,32.0,22.0
328,1.0,0.0,32.0,25.0
329,1.0,0.0,32.0,28.0
330,1.0,0.0,33.0,1.0
331,1.0,0.0,33.0,4.0
332,1.0,0.0,33.0,7.0
333,1.0,0.0,33.0,10.0
334,1.0,0.0,33.0,13.0
335,1.0,0.0,33.0,16.0
336,1.0,0.0,33.0,19.0
337,1.0,0.0,33.0,22.0
338,1.0,0.0,33.0,25.0
339,1.0,0.0,33.0,28.0
340,1.0,0.0,34.0,1.0
341,1.0,0.0,34.0,4.0
342,1.0,0.0,34.0,7.0
343,1.0,0.0,34.0,10.0
344,1.0,0.0,34.0,13.0
345,1.0,0.0,34.0,16.0
346,1.0,0.0,34.0,19.0
347,1.0,0.0,34.0,22.0
348,1.0,0.0,34.0,25.0
349,1.0,0.0,34.0,28.0
350,1.0,0.0,35.0,1.0
351,1.0,0.0,35.0,4.0
352,1.0,0.0,35.0,7.0
353,1.0,0.0,35.0,10.0
354,1.0,0.0,35.0,13.0
355,1.0,0.0,35.0,16.0
356,1.0,0.0,35.0,19.0
357,1.0,0.0,35.0,22.0
358,1.0,0.0,35.0,25.0
359,1.0,0.0,35.0,28.0
360,1.0,0.0,36.0,1.0
361,1.0,0.0,36.0,4.0
362,1.0,0.0,36.0,7.0
363,1.0,0.0,36.0,10.0
364,1.0,0.0,36.0,13.0
365,1.0,0.0,36.0,16.0
